City,State,EV_Count,temperature,humidity,Electric Range
Atlanta,GA,1,16.62380470487183,70.72514529423464,0.0
Boston,MA,2,10.62932009413124,77.29799129339492,16.0
Chicago,IL,1,10.2004697790533,74.05928888692462,32.0
Dallas,TX,1,19.225779743224162,64.25512120743376,0.0
Denver,CO,1,9.689445739425166,52.848650918171174,0.0
Houston,TX,1,21.0540844221131,74.01913685280535,289.0
Jacksonville,FL,4,21.183464756832254,76.38684728084326,5.25
Las Vegas,NV,3,19.274908805014984,31.6250414337171,6.333333333333333
Los Angeles,CA,5,17.695827795569198,62.68684949064151,3.8
Minneapolis,MN,1,7.5448076675956735,71.24418270611893,220.0
Nashville,TN,1,15.416403362017943,68.1806510065631,0.0
New York,NY,2,12.243110094353082,66.3636664972488,0.0
Philadelphia,PA,1,12.223668935551387,67.912425695534,25.0
Phoenix,AZ,2,22.342758481657967,37.13965924911056,37.5
Pittsburgh,PA,2,10.90356282589437,70.26521998541533,146.5
Portland,OR,3,11.842864820704216,74.6716018827481,4.666666666666667
Saint Louis,MO,1,13.525935789131617,70.55974189556494,0.0
San Antonio,TX,5,20.635546706104964,67.5644929617926,5.0
San Diego,CA,16,17.065073222527744,67.75071265993415,45.875
San Francisco,CA,1,15.249370230689678,75.88263761518573,291.0
Seattle,WA,38046,11.260358816195987,77.09181711709721,47.85244619131674
Vancouver,WA,8740,10.78503038496714,81.94236846175944,44.79282276594446
